Date,IP,URL,HTTP Code,Agent
07/Nov/2024:11:00:30,192.168.95.53,/about,500,desktop
07/Nov/2024:06:07:30,192.168.17.234,/home,500,desktop
07/Nov/2024:16:32:33,192.168.99.255,/about,404,desktop
07/Nov/2024:03:32:36,192.168.6.11,/checkout,500,desktop
06/Nov/2024:20:24:26,192.168.125.208,/home,404,móvil
07/Nov/2024:05:33:40,192.168.173.86,/products,500,otros
07/Nov/2024:00:01:56,192.168.89.124,/cart,302,móvil
07/Nov/2024:02:45:51,192.168.231.175,/about,200,móvil
07/Nov/2024:08:19:04,192.168.32.18,/products/item,404,desktop
07/Nov/2024:00:48:07,192.168.107.32,/home,302,desktop
07/Nov/2024:06:35:16,192.168.242.227,/contact,500,otros
07/Nov/2024:09:04:05,192.168.155.208,/cart,302,móvil
07/Nov/2024:02:37:21,192.168.107.32,/products,200,otros
06/Nov/2024:20:14:19,192.168.69.41,/home,200,otros
07/Nov/2024:12:29:29,192.168.97.112,/home,404,móvil
07/Nov/2024:11:36:18,192.168.139.49,/products/item,500,desktop
06/Nov/2024:22:49:20,192.168.212.155,/products/item,500,móvil
07/Nov/2024:00:00:51,192.168.139.121,/home,200,otros
07/Nov/2024:11:05:58,192.168.183.147,/cart,404,desktop
06/Nov/2024:20:27:35,192.168.90.19,/about,404,otros
07/Nov/2024:14:18:05,192.168.254.199,/cart,404,móvil
07/Nov/2024:15:20:30,192.168.130.6,/home,500,otros
07/Nov/2024:07:15:49,192.168.185.227,/home,200,desktop
07/Nov/2024:06:29:32,192.168.183.196,/cart,404,desktop
07/Nov/2024:12:47:00,192.168.160.116,/about,302,desktop
07/Nov/2024:04:21:25,192.168.96.167,/about,500,otros
07/Nov/2024:15:55:35,192.168.13.237,/cart,500,otros
07/Nov/2024:07:17:20,192.168.234.186,/checkout,302,móvil
06/Nov/2024:23:43:01,192.168.164.254,/products,500,desktop
07/Nov/2024:01:31:57,192.168.230.181,/checkout,500,desktop
07/Nov/2024:15:35:59,192.168.220.211,/home,404,otros
07/Nov/2024:02:13:15,192.168.181.22,/cart,404,móvil
